iter	Accuracy	Logloss
186	0.94	0.2350481418
187	0.940625	0.2346038653
188	0.940625	0.2343048842
189	0.940625	0.2337367101
190	0.939375	0.2327258996
191	0.94	0.2321817236
192	0.94	0.2316796679
193	0.94	0.2311769954
194	0.94	0.2304200475
195	0.94	0.2301067899
196	0.940625	0.2296515869
197	0.940625	0.2287536942
198	0.94125	0.2280818228
199	0.9425	0.2271802791
200	0.941875	0.2265143874
201	0.941875	0.2261716084
202	0.941875	0.2254790889
203	0.9425	0.2248504751
204	0.943125	0.224496535
205	0.943125	0.2239907302
206	0.943125	0.2236215342
207	0.9425	0.2228203064
208	0.9425	0.2219431017
209	0.9425	0.2214306888
210	0.94375	0.2207432176
211	0.945	0.2203687234
212	0.944375	0.2199045246
213	0.945625	0.2194887658
214	0.94625	0.2188506113
215	0.946875	0.2183555203
216	0.946875	0.217991426
217	0.946875	0.2173511384
218	0.946875	0.2169841002
219	0.946875	0.2164447301
220	0.946875	0.2159985818
221	0.948125	0.2152593889
222	0.9475	0.2146304985
223	0.9475	0.2142963178
224	0.9475	0.2140656105
225	0.9475	0.2136303484
226	0.946875	0.2131948096
227	0.948125	0.2124923665
228	0.94875	0.2118608077
229	0.94875	0.2113355068
230	0.94875	0.2105972353
